ID	Label	Text
376	10	Hamas agrees with Egypt on tighter border security: Security and humanitarian issues were discussed by the two sides, marking a thaw in the Egypt-Hamas relationship. Egypt has reportedly offered to provide electricity to Gaza to relieve part of its humanitarian crisis in return for Hamas agreeing to several security measures. The Hamas delegation, headed by the movement’s new Prime Minister Yahya Sinwar, returned to the Gaza Strip on Monday after nine days of what they said was constructive meetings with Cairo officials. Egypt agreed to fund Gaza’s sole power plant, after it was shut down in April as a result of heavy taxes levied by the Palestinian Authority on diesel fuel. In return, Hamas would tighten its security on the Rafah border. According to Hamas leader Mahmoud Zahhar, the movement had asked to meet with their Egyptian counterparts before the GCC crisis began. “We agreed, and this is as much to our benefit as it is to theirs, to separate our borders to prevent the smuggling of drugs and weapons,” Zahhar said. READ MORE- Hamas' political document: What to expect “The delegation also discussed humanitarian issues such as freedom to travel through the Rafah border,” Zahhar told Al Jazeera. Hamas official Musheer al-Masri told Al Jazeera that Egyptian officials had promised "practical steps to ease the siege on the Palestinian people".
179	9	Tennessee's refugee resettlement lawsuit dismissed by federal judge: CLOSE A Nashville teacher spoke out on Facebook against Trump's temporary immigration ban saying he should visit her class where her refugee students proudly say the pledge of allegiance every morning. Shelley Mays and Jason Gonzales A federal judge has dismissed Tennessee's lawsuit against the federal government over refugee resettlement. (Photo: Joel Ebert / The Tennessean) NASHVILLE — A federal judge Monday dismissed Tennessee's lawsuit against the federal government over refugee resettlement. In the lawsuit, the state alleged the federal government violated the 10th Amendment, which says the federal government possesses only the powers delegated to it by the U. S. Constitution and that all other powers are reserved for the states. Tennessee charged that the federal government was not complying with the Refugee Act of 1980. The federal refugee act was designed to create a permanent procedure for the admission of refugees into the U. S. MORE: Federal government asks for dismissal of Tennessee refugee lawsuit In the lawsuit, the state argued Tennessee was facing a threat of losing nearly $7 billion in Medicaid funds if it refused to resettle refugees. Despite the state opting out of the resettlement program, refugees have continued to be sent to Tennessee after the federal government appointed Catholic Charities of Tennessee to administer resettlement efforts.
354	0	Lower Merion HS Team Dons Warm Ups Expressing Support For Muslims, Refugees, Immigrants: 5 Best Ski Lodges In The U. S. A look at five of the very best ski lodges in the United States. Five Must-See Destinations In ParisWithin the 41 square miles of Paris, France there are over 60 main attractions for visitors to discover ranging from Museums, Churches, Monuments and Squares as well as examples of contemporary and traditional architecture. This is far too many sites for the average tourist to attempt to visit during a short stay in the city of lights. Thus a list of the five most famous and must see attractions is in order.
385	3	Six months of hate: how anti-immigrant sentiment is affecting Latinos in the United States: Six months of hate: how anti-immigrant sentiment is affecting Latinos in the United States Since the presidential election, Univision has received nearly 200 reports of hate and bias perpetrated against our readers and viewers, who have been the victims of racist slurs and harassment, intimidation, vandalism and even assault. In November, this family's home was vandalized with racist messages: "USA, USA," and "GO BACK. " In November, this family's home was vandalized with racist messages: "USA, USA," and "GO BACK. " Univision Marvin del Cid wakes up to find the words "fu**ing Mexicans, get out" spray painted on the side of his trailer. Dreamers Justino Mora, Iván Ceja and Belen Sisa endure weeks of threatening messages — and even death threats — online after posting on social media about being undocumented. Kids plead with their parents not to send them to school after chants of "build the wall. " In recent months, hate incidents and hate crimes have targeted Latinos around the country, in small towns and big cities, coast-to-coast. Though the weeks immediately before and after the presidential election saw the most reports, incidents have continued at a steady tick. Lea esta nota en español.
378	8	Trump And Sessions Send Warnings To Migrant Caravan Of 500 People Approaching U.S. Border: As a caravan of 500 migrants near the border, the U. S. sends warnings to the asylum-seekers. As a group of about 500 migrants from Central America quickly approach the U. S. border, President Donald Trump and Attorney General Jeff Sessions have sent stern warnings to the caravan. Although it’s legal to seek asylum, it’s illegal to cross into the country without going through the asylum process. As reported by NBC News, Sessions pointed out that Mexico was going to allow the migrants to stay in their country, but that they declined the offer to continue their journey north. He then made a statement regarding the asylum process. “Let today’s message be clear: Our nation has the most generous immigration system in the world, but this is a deliberate attempt to undermine our laws and overwhelm our system. There is no right to demand entry without justification. Smugglers and traffickers and those who lie or commit fraud will be prosecuted to the fullest extent of the law. ” Asylum is granted to people who have suffered persecution or have good reason to believe they will suffer persecution according to their race, religion, or nationality.
80	7	Ship carrying 60 migrants arrives in Spain after being refused entry by Italy, Malta: BARCELONA, SPAIN—A rescue ship carrying 60 migrants arrived Wednesday in a Spanish port after being refused entry by Italy and Malta, the second time in a month that a humanitarian group has been forced to travel for days to unload people rescued in the central Mediterranean. The Italian government is blocking private rescue boats that it blames for encouraging human traffickers to launch unseaworthy boats loaded with migrants toward Europe. A doctor takes the temperature of migrants aboard the Open Arms aid boat, of Proactiva Open Arms Spanish NGO, after arriving at the port of Barcelona, Spain on Wednesday. The aid boat sailed to Spain with 60 migrants rescued on Saturday in waters near Libya, after it was rejected by both Italy and Malta. ( Olmo Calvo / The Assoicated Press ) But the aid groups deny having any link to smugglers in Libya or elsewhere, and say they are being forced to leave unattended the busy migrant sea transit route where deaths are mounting. The Open Arms rescue ship completed a four-day journey to Barcelona, in northeastern Spain, after it saved 60 people Saturday from a rubber boat floating in waters north of Libya.
63	7	Turkey to ask EU for rest of €3bn refugee aid: Ankara will ask the European Union about the remainder of a €3 billion ($3. 69 billion) fund intended for Syrian refugees during talks in Bulgaria next week, Turkish President Recep Tayyip Erdogan said on Monday. Turkey has accepted 3. 5 million refugees from Syria, and the EU is already spending €3 billion to help them as part of a 2016 deal to curb migration into Europe. However, the Turkish president says “the promises made to us have not been kept. ” The EU states said they would give €3 billion plus another €3 billion of support, “but so far €850 million have entered our safe,” Erdogan said. “If you’re going to give that money, then do it. This nation has pride and you can’t toy with our pride.
167	6	Young refugees find safe haven in Boy Scouts: By Thomas Peipert, Associated Press EVERGREEN — Boy Scouts Jean Tuyishime and Moise Tuyikunde sit around a crackling campfire under a canopy of stars in Colorado’s Rocky Mountains, joking and teasing each other as adolescent brothers tend to do. Only two and a half years ago, they were a world away living at the crowded Gihembe refugee camp, built on a sprawling and dusty expanse of land in northern Rwanda. The brothers were born in the camp after their parents fled violence in 1996 in what was then known as Zaire. They relocated with their family to the Denver area in 2014, and they gradually assimilated into their new surroundings, learning to speak enough English to get by and signing up for a quintessential American experience — Boy Scouts. But the troop Jean, 15, and Moise, 12, joined is not like many others in the United States. Troop 1532 is composed almost entirely of refugees who hail from far-flung places like Burma, Rwanda and Nepal. At campouts, traditional American food like hot dogs and trail burgers is replaced by fish head stew, fire-roasted corn and Chatpate, a popular Nepalese street snack. S’mores are still a staple.
393	8	She's running the Boston Marathon to raise money for Syrian refugees: Story highlights She is the daughter of Syrian immigrants She's also from Michigan, home to large number of Syrian refugees (CNN) Rahaf Khatib has run six marathons in the last two years. On Monday, she'll run her seventh -- the Boston Marathon -- for Syrian refugees. The 33-year-old runner is the daughter of Syrian immigrants and from Michigan, a state with one of the highest number of Syrian refugees in the country. For her, raising money for refugees was a response to a "deep need" that she says she saw within her community. So far she's raised $16,000 "Where I live, it's a crisis," Khatib explained, "I personally as a stay-at-home mom couldn't contribute financially and I felt like I had to help. " So, she decided to help by running.
166	8	Australia toughens foreign worker visas, says Australian jobs for Australians: Australia will abolish a temporary work visa popular with foreigners and replace it with a visa requiring better English-language and work skills, Prime Minister Malcolm Turnbull (left) said on Tuesday. [SYDNEY] Australia will abolish a temporary work visa popular with foreigners and replace it with a visa requiring better English-language and work skills, Prime Minister Malcolm Turnbull said on Tuesday. Mr Turnbull rejected suggestions the visa policy change was in response to far-right political parties, such as One Nation, demanding more nationalistic policies. But in a Facebook announcement Mr Turnbull said: "Our reforms will have a simple focus: Australian jobs and Australian values. " Mr Turnbull said the visa change would attract better skilled workers and see Australians employed over cheap foreign workers brought in under the old 457 visa programme. "We are an immigration nation, but the fact remains- Australian workers must have priority for Australian jobs," he said. "We'll no longer allow 457 visas to be passports to jobs that could and should go to Australians. " The 457 visa was designed to fill Australia's skills shortage and allow holders to bring members of their family to Australia on 457 secondary visa.
